 ,,,
Grupo,Nombre nativo,Población étnica[33],Territorio étnico
Nahua,Náhuatl,2 445 969,Centro de México
Maya,Maya,1 475 575,Península de Yucatán
Zapoteco,Binizáa,777 253,"Valles, Sierra e Istmo"
Mixteco,Ñuu sávi,726 601,Región Mixteca
Otomí,Hñähñü,646 875,Centro de México
Totonaca,Tachihuiin,411 266,Sierra Madre Oriental
Tsotsil,Batsil winik,406 962,Chiapas
Tseltal,Winik atel,384 074,Chiapas
Mazahua,Jñatrjo,"326,660",Valle de Toluca
Mazateco,Ha shuta enima,305 836,Región de Tuxtepec (Oaxaca)
Huasteco,Tének,226 447,Región Huasteca
Ch'ol,Ch'ol,220 978,Chiapas
Purépecha,P'urhépecha,202 884,Meseta Tarasca
Chinanteco,Tsa ju jmí’,201 201,Región de Tuxtepec
Mixe,Ayüük,168 935,Sierra de Juárez
Tlapaneco,Me'phaa,140 254,Montaña Guerrerense
Tarahumara,Rarámuri,121 835,"Sierra Tarahumara, Chihuahua"
Mayo,Yoreme,91 261,Valles del Mayo y del Fuerte
Zoque,O' de püt,86 589,Istmo de Tehuantepec
Chontal de Tabasco,Yokot,79 438,Chontalpa (Tabasco)
Popoluca,Tuncápxe,62 306,Istmo de Tehuantepec
Chatino,Kitsé cha’tnio,60 003,Costa de Oaxaca
Amuzgo,Nn´anncue,57 666,Montaña Guerrerense
Tojolabal,Tojolabal,54 505,Chiapas
Huichol,Wixárika,43 929,"Nayarit, Norte de Jalisco, Zacatecas, Durango"
Tepehuano,O'dami,37 548,Durango
Triqui,Guii xihanjhan,29 018,Noroeste oaxaqueño
Popoloca,Ngigua,26 249,
Cora,Nayeeri,24 390,Noreste de Nayarit
Mam,Winaq qo',23 812,Chiapas
Yaqui,Yoeme,23 411,Valle del Yaqui
Cuicateco,Cuicateco,22 984,
Huave,Ikoots,20 528,
Tepehua,Hamasipini,16 051,
Q'anjob'al,Q'anjob'al,12 974,Chiapas
Chontal de Oaxaca,Slijuala sihanuk,12 663,
Pame,Xi'ui,12 572,
Sayulteco,Tɨkmaya',4765,Sayula de Alemán
Akateko,Kuti',3202,Chiapas
Chichimeca-Jonaz,Ézar,3169,
Matlatzinca,Bot'uná,3005,
Guarijío,Warihó / Makurawe,2844,Chihuahua
Chuj,Koti',2719,Chiapas
Chocholteco,Ngiwa,2592,Mixteca Alta
Tacuate,,2379,
Q'eqchi',Q'eqchi',2138,"Chiapas, Campeche"
Tlahuica,Pjiejakjo,1759,
Pima,O'ob,1540,
Jakalteko,Popti',1478,Chiapas
Seri,Comca'ac,1263,Costa sonorense
Lacandón,Jach winik,1166,Selva Lacandona
Ixcateco,Xjuani,816,Ixcatlán
Mocho',Mocho',692,Motozintla
Quiché,K'iche',524,Chiapas
Kaqchikel,Kakchikel,675,Chiapas
Paipai,Pa ipai,418,Baja California
Texistepequeño,Wää 'oot,368,Texistepec
Pápago,Tohono o'odam,363,Desierto de Sonora
Cucapá,Xawiƚƚ Kwñchawaay,344,"Valle de Mexicali, Baja California y San Luis Río Colorado, Sonora"
Ixil,Ixil,335,Campeche
Kumiai,Ti'pai,328,Baja California
Teko,B'a'aj,303,Chiapas
Kikapú,Kikapooa,251,Coahuila
Cochimí,Comom’ti-pa,226,Ensenada
Apache,N'dee/N'nee/Ndé,110,"Chihuahua, Coahuila, Sonora"
Kiliwa,Ko'lew,107,Baja California
Oluteco,Yaakaw+,78,Oluta
Ayapaneco,Numte oote,71,Ayapa
Awakateko,Qatanum,59,Campeche
Ku'ahl,Ku'ahl,,Baja California
Coca,Coca,,Jalisco
Otros pueblos1,,728,
No especificado,,202 597,
"1 Incluye ópata, solteco y Idioma papabuco (papabuco)",,,
